18;11;806
17;7;741
11;3;946
10;5;565
22;12;190
25;7;96
19;7;995
21;6;432
17;1;814
9;11;291
10;5;360
28;1;544
19;2;595
29;5;736
17;8;998
12;3;113
1;12;353
17;8;12
18;2;445
11;4;503
17;8;902
13;1;699
31;7;257
4;6;434
25;8;420
18;3;509
1;8;698
19;1;328
3;1;272
28;1;517
20;1;36
2;4;758
18;4;932
12;4;430
23;5;671
20;11;645
14;3;818
27;6;49
27;5;743
5;4;268
21;3;703
14;1;544
5;6;966
8;12;354
13;10;143
3;10;160
31;5;812
26;7;92
6;8;91
17;6;340
5;6;328
19;6;694
8;10;519
30;7;446
8;12;375
17;12;367
26;11;309
29;9;981
27;1;726
10;8;4
8;10;442
16;11;673
9;4;805
8;7;648
22;10;571
4;3;778
7;4;661
20;4;68
10;4;2
11;4;528
11;11;198
28;8;669
24;12;432
12;1;782
13;2;10
10;9;216
12;3;524
3;11;410
11;2;76
12;7;531
1;2;133
3;3;478
30;5;801
12;8;911
18;10;948
29;4;800
24;3;800
16;2;218
4;1;329
7;6;268
29;1;793
4;3;659
18;9;42
12;3;999
13;2;331
18;4;982
18;10;838
2;12;17
16;3;103
28;5;157
11;4;478
11;4;864
28;4;148
30;1;325
24;11;188
27;7;395
3;12;402
25;5;303
28;11;815
16;6;699
25;11;566
28;6;733
10;10;940
20;10;790
19;3;529
9;3;308
30;7;578
25;2;307
26;1;404
17;10;602
16;5;793
17;1;883
28;6;918
25;5;709
17;4;917
24;5;572
9;7;572
2;7;398
15;6;607
12;9;127
14;2;518
2;2;888
26;2;202
20;10;269
23;5;758
27;5;956
15;8;145
15;4;59
13;3;162
7;6;284
9;12;342
10;5;11
10;11;550
21;12;384
3;2;644
18;9;366
10;10;667
16;7;343
8;11;617
4;6;220
3;4;674
14;6;948
25;3;686
3;3;105
19;5;226
1;2;528
25;10;845
27;8;215
18;2;907
5;1;344
1;12;257
28;5;71
2;10;595
10;12;35
23;5;925
14;10;569
25;5;472
15;3;822
9;11;439
16;10;253
7;2;575
19;1;460
19;9;156
13;3;954
16;7;23
24;9;240
12;1;349
8;1;290
8;8;58
3;6;698
12;5;47
23;9;458
8;9;227
18;3;644
11;2;820
24;9;860
12;12;717
27;9;368
13;11;440
19;11;370
